example_id, text, aspect_term, term_location, class
2465_2,"Since I keyboard over 100 wpm[comma] I look for a unit that has a comfortble keyboard (no keys sticking or lagging[comma] strange configuration of ""extra key""[comma] etc.","configuration of ""extra key""",118--146,1
2272_3,We also use Paralles so we can run virtual machines of Windows XP Professional[comma] Windows 7 Home Premium[comma] Windows Server Enterprise 2003[comma] and Windows Server 2008 Enterprise.,Windows Server Enterprise 2003,104--134,0
2420_0,They are about the same size keys.,keys,29--33,0
1455_0,_ also the battery is completely shot.,battery,11--18,-1
2359_1,The screen is bright and vivid and the keyboard is very easy to use[comma] very important for use quick typers.,keyboard,39--47,1
541_0,The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrenty,24--32,1
1372_4,_ We have had numerous problems with Vista[comma] such as Adobe Flash player just quits and has to be uninstalled and then reinsalled[comma] Internet Explore just quits and you lose whatever you were working on[comma] also[comma] the same Windows update has appeared on this computer since we got it and has been updated probably 400 times[comma] the same update.,update,326--332,-1
1112_1,Info: Windows failed to load because the kernal is missing[comma] or corrupt.,kernal,41--47,-1
1263_0,HP said it was out of warranty.,warranty,22--30,0
2727_0,Tried to make a recovey disk wouldnt get passed the first recovery disk.,recovey disk,16--28,-1
1647_0,And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.,ram,8--11,1
3056_1,The speed difference is next to NOTHING for a mac[comma] and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.,hard drive,59--69,0
259_0,They break down just as often as PCs do[comma] and the only reason they don't get viruses[comma] is because no one makes viruses for them[comma] they're not better in any way[comma] they are worse[comma] try finding virus protection programs for a Mac[comma] they don't exist.,virus protection programs for a Mac,186--221,-1
1546_0,Finally[comma] I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.,2GB RAM stick,39--52,0
2722_2,I'm really impressed with the quality and performance for the price of the computer.,price,62--67,1
1086_2,EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.,KEYS,141--145,-1
73_0,The newer black keyboard took a little bit away from the previous gray one which looked really slick[comma] but it is still a great notebook!,black keyboard,10--24,-1
1224_0,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,120--136,-1
2625_0,The resolution on the screen is almost pure HD.,resolution on the screen,4--28,1
2761_0,It's even easy to hook up to other wireless networks.,hook up to other wireless networks,18--52,1
2757_3,I also love the design[comma] the looks[comma] the feel[comma] and the my toshiba feature is wonderfull.,my toshiba feature,53--71,1
1450_1,"The best thing to do is build your own computer[comma] but if u can't company's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $2000 systems and if you google ""dell coupons"" you can find codes that take a signifant_ amount off the price.",price,151--156,1
764_0,Call tech support[comma] standard email the form and fax it back in to us.,tech support,5--17,0
834_2,"This laptop looks great on the surface: 17"" inch screen[comma] good  price-point[comma] nice appearance[comma] boots up quickly[comma] runs fast etc.",appearance,81--91,1
1047_3,-4 RAM slots[comma] 2 HDD Bays*[comma] 16GB RAM support -No Wireless Issues[comma] at least for me.,Wireless,48--56,1
1058_0,But when I received my replacement[comma] I made BOTH recovery DVDs (4)[comma] and a driver/application DVD.,recovery DVDs,48--61,0
2833_0,the laptop preformed pretty well.,preformed,11--20,1
1972_0,It was hard to handle and operate at school.,handle,15--21,-1
3058_2,they improved nothing else such as Resolution[comma] appearance[comma] cooling system[comma] graphics card[comma] etc.,cooling system,59--73,-1
1752_0,however[comma] I may have inadvertently thrown out one of the batteries with the shipping carton.,batteries,56--65,0
2679_0,Also consider the MS Office apps are all trial versions[comma] hope you have your own copies.,MS Office apps,18--32,-1
637_0, I propose that they can just swap the hard drives.,hard drives,39--50,0
314_1,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,Office,34--40,-1
240_0,Skype is just so dang cool with this machine too.,Skype,0--5,1
1968_0,Sure it has the one touch keys but that was the best feature of the computer.,one touch keys,16--30,1
740_0,This computer had exactly the specifications I needed.,specifications,30--44,1
2577_1,The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,battery life,142--154,0
845_0,Long story[comma] but after many calls to various  offices[comma] I was told that no one can override the depot and that managers  don't take phone calls or e/mails.,depot,94--99,0
2221_2,Of course[comma] I also have several great software packages that came for free including iWork[comma] GarageBand[comma] and iMovie.,GarageBand,91--101,1
1427_0,BEST BUY - 5 STARS + + + (sales[comma] service[comma] respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple,sales,26--31,1
453_9,There are several programs for school or office use (Pages[comma] Numbers[comma] Keynote[comma] etc.)[comma] music (Garageband)[comma] photo management (Photo Booth[comma] iPhoto)[comma] video-editing or movie-making (iMovie)[comma] etc.,Pages,53--58,0
335_0,The operating system and user interface is very intuitive[comma] and the large multi-touch track pad is amazing.,operating system,4--20,1
3027_0,Enabling the battery timer is useless.,battery timer,13--26,-1
990_0,The technical service for dell is so 3rd world it might as well not even bother.,technical service for dell,4--30,-1
108_0,"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read[comma] for example[comma] ""74%[comma] plugged in[comma] not charging"")[comma] requiring me to unplug it and plug it back in several times to get it to charge.",charging,146--154,-1
394_2,The leather carrying case[comma] keyboard and mouse arrived in two days from Memphis warehouse.,mouse,40--45,0
1867_1,I think part of the problem with this computer is Vista[comma] yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).,Vista,68--73,-1
1675_0,It's color is even cool.,color,5--10,1
2632_0,I thought learning the Mac OS would be hard[comma] but it is easily picked up if you are familiar with a PC.,Mac OS,23--29,1
2154_2,The large screen also helps when you are working in design based programs like Adobe Creative Suite.,Adobe Creative Suite,79--99,0
331_0,It has a 10 hour battery life when you're doing web browsing and word editing[comma] making it perfect for the classroom or office[comma] and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.,battery life,17--29,1
3031_0,I know what 7 hrs of battery looks like.,battery,21--28,1
675_0,10 plus hours of battery...,battery,17--24,1
2346_1,I'm already hooked on the sleek look and dependability that this laptop has shown.,dependability,41--54,1
1745_2,Though the picture[comma] video[comma] and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.,picture,11--18,-1
2271_0,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,16--22,0
84_0,While I mostly use it for email[comma] internet and gaming[comma] I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.,applications,78--90,1
2690_0,I dislike the quality and the placement of the speakers.,speakers,47--55,-1
1441_0,STOPPED BOOTING UP less than a week after my one-year warranty was up.,BOOTING UP,8--18,-1
1089_0,Well I spilled something on it and they replaced it with this model[comma] which gets hot and the battery doesn't make it through 1 DVD.,battery,92--99,-1
1159_0,I would rate this computer at 5 stars[comma] but considering it has a short life span I can only give it 1 and implore anyone looking at laptops to stay away from this machine.,life span,70--79,-1
3058_3,they improved nothing else such as Resolution[comma] appearance[comma] cooling system[comma] graphics card[comma] etc.,graphics card,75--88,-1
1885_0,If internet connectivity is important I would recommend going with a dell net book for 50 bucks more[comma] or buy a USB wireless card.,internet connectivity,3--24,0
3011_2,Great OS[comma] fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.,thunderbolt port,99--115,1
2481_0,It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC's.,virus protection,96--112,1
18_2,While most people say that PCs hold functionality and value and Macs are just pretty to look at[comma] I think there's something to be said about the simplicity of Macs.,simplicity,144--154,1
744_1,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,USB port,114--122,-1
248_0,The Internet Explorer was very slow from the very beginning.,Internet Explorer,4--21,-1
2288_0,Wonderful sleek case design is only on the outside.,case design,16--27,1
59_0,The computer runs extremely slowly[comma] whether opening Word or My Computer.,runs,13--17,-1
834_0,"This laptop looks great on the surface: 17"" inch screen[comma] good  price-point[comma] nice appearance[comma] boots up quickly[comma] runs fast etc.","17"" inch screen",40--55,1
1332_0,"Do you think I purposely ""destroy"" my netbook[comma] so that I can demand a new set? Do you think it's fun to take public transport all the way to the service center and get a non-satisfactory solution? Or rather NO solution.",service center,145--159,-1
2132_1,The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,keyboard,93--101,0
2187_2,Compared to similarly spec'd PCs[comma] this machine is good value[comma] well built and works easily right out of the box.,works,77--82,1
1444_0,Apparently there is a manufacturing defect[comma] something with the amount of thermal paste.,thermal paste,73--86,-1
406_0,HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.,extended warranties,33--52,-1
1268_0,Could not keep up with me and finally the hard drive went out.,hard drive,42--52,-1
2809_0,I love windows 7 but i can't give Toshiba any credit for that[comma] unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.,windows 7,7--16,1
1068_2,I reloaded with Windows 7 Ultimate[comma] and the Bluetooth and Fingerprint reader (software) would not load.,Fingerprint reader,58--76,-1
2967_0,I would like at least a 4 hr. battery life.,battery life,30--42,0
1922_1,The battery life was supposed to be 6 hours[comma] but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.,battery,71--78,0
1811_4,The Mac Snow Leopard O/S is extremely easy to use[comma] although very different than Win XP[comma] Visa or Win7.,use,46--49,1
2368_0,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,use,30--33,1
1993_1,Whenever tried to turn it on[comma] it would restart as soon as the BIOS launched Windows (or Winblows[comma] as I like ot call it).,Windows,76--83,-1
2090_1,Great product[comma] very easy to use and great graphics.,use,28--31,1
2656_0,This is a great value for the money.,value,16--21,1
2587_0,One suggestion I do have[comma] is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.,Microsoft office for the mac,51--79,-1
108_1,"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read[comma] for example[comma] ""74%[comma] plugged in[comma] not charging"")[comma] requiring me to unplug it and plug it back in several times to get it to charge.",charge,38--44,-1
1548_3,Apparently well-built and gorgeous to look at[comma] the i5 MacBook Pro is a winning combination of price and performance.,look,38--42,1
2990_0,Right size and weight for portability.,size,6--10,1
44_0,I regret buying it before understanding how awful it is to use.,use,59--62,-1
2813_0,Memory is upgradable.,Memory,0--6,1
1064_1,For the Bluetooth to work properly[comma] you must install the Launch Manager on the Drivers/Applications DVD[comma] or it will not show after the reload.,Drivers/Applications DVD,79--103,0
2762_1,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,battery,54--61,1
1255_0,I should have checked this before I installed my applications.,applications,49--61,0
2775_0,Sells for the same as a netbook without sacrificing size.,size,52--56,1
2491_0,First things first[comma] Macbook pro has many applications to make life easier[comma] unlike the windows computers.,applications,41--53,1
2507_0,PC users work in Word[comma] while Mac users work in Pages.,Word,17--21,0
429_0,The repairs were made quickly though I must say[comma] however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.,shipped,78--85,-1
1142_1,_ And at one point[comma] they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).,memory stick,55--67,-1
2865_0,The feature are good enough for what I need.,feature,4--11,1
4_1,I bought a protector for my key pad and it works great :),key pad,28--35,1
3048_0,"I had the staff telling me older version did not make the fan noise cause it is a ""different"" computer.",staff,10--15,-1
575_0,I work in film editing and post production[comma] so I need a laptop that not only has power[comma] but memory and speed as well.,power,81--86,0
2711_2,Seems to slow down occassionally but can run many applications (ie Internet tabs[comma] programs[comma] etc) simultaneously.,Internet tabs,67--80,1
2440_0,I was looking too closely at the other performance specs and while comparing[comma] I took it for granted that these features were standard.,performance specs,39--56,0
2117_0,When you look at the specs on Apple products in comparison to a Dell or a HP[comma] yes they do seem to offer less for a higher cost.,cost,122--126,-1
2959_1,The 2 GB of RAM is plenty[comma] able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.,Windows 7,39--48,1
1794_1,I love the solid machined aluminum frame[comma] and the keyboard is the best of any laptop I've used.,keyboard,50--58,1
2140_0,All apple associates are always wiling to help you out with anything[comma] no matter when you purchased the computer and how many years passed.,apple associates,4--20,1
2272_0,We also use Paralles so we can run virtual machines of Windows XP Professional[comma] Windows 7 Home Premium[comma] Windows Server Enterprise 2003[comma] and Windows Server 2008 Enterprise.,Paralles,12--20,0
2697_1,I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,screen,90--96,0
265_0,No tutorials on the display.,tutorials,3--12,-1
26_0,The battery life is amazing[comma] the versitility is outstanding.,battery life,4--16,1
720_0,Upgrading from Windows 7 Starter[comma] thru Windows 7 Home Premium[comma] to Windows 7 Professional was a snap;,Windows 7 Starter,15--32,0
2780_0,There is no number pad to the right of the keyboard which is a bummer.,pad,19--22,-1
1412_0,I could save ten essay papers and have hardly any memory left.,memory,50--56,-1
2170_1,Even so[comma] I like playing online games[comma] so it was wonderful that there is a feature where I can dualboot Windows.,Windows,103--110,1
2313_1,Startup in about 30 seconds[comma] shutdown in 2-4 seconds[comma] resume from sleep in 0-2 seconds.,shutdown,29--37,0
2710_0,Came fully loaded - good.,loaded,11--17,1
1021_1,This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,keyboard functions,82--100,-1
2337_1,the touch pad is fine - again[comma] it's a real touch pad.,touch pad,43--52,1
486_4,That included the extra Sony Sonic Stage software[comma] the speakers and the subwoofer I got (that WAS worth the money)[comma] the bluetooth mouse for my supposedly bluetooth enabled computer[comma] the extended life battery and the Docking port.,Docking port,216--228,0
2584_1,The keyboard is like no other laptop keyboard.,keyboard,37--45,0
2154_0,The large screen also helps when you are working in design based programs like Adobe Creative Suite.,screen,10--16,1
1080_0,Also[comma] HDD secures inside using rails[comma] and there is only one set on the main hard drive.,HDD,6--9,1
2627_0,It's also fairly easy to use the Operating System.,Operating System,33--49,1
2518_0,I purchased a Toshiba Satellite M60 (with harman/kardon speakers!) in December of 2005.,speakers,56--64,1
569_0,But the screen size is not that bad for email and web browsing.,screen size,8--19,1
1876_0,I already have a HP laptop I bought last year that's standard size.,size,62--66,0
1438_1,Externally the keys on my keyboard are falling off[comma] after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit[comma] and the screen has a terrible glare.,keyboard,26--34,-1
997_0,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,0--7,1
1996_0,I am not sure if it was the drive itself[comma] however;,drive,28--33,0
2962_0,This is likely due to poor grounding and isolation between the components[comma] and I'm hoping that it can be fixed with a ground loop isolator[comma] but I still expected better product quality for this price range.,components,63--73,-1
1612_1,The graphics and screen are stunning and although I was a PC person[comma] I was able to understand how to use a mac fairly quickly.,screen,17--23,1
2261_1,The Apple applications (ex.iPhoto) are fun[comma] easy[comma] and really cool to use (unlike the competition)!,iPhoto,27--33,1
1595_0,Its pretty fast and does not have hiccups while I am using it for web browsing[comma] uploading photos[comma] watching movies (720p) on occasion and creating presentations.,web browsing,66--78,1
640_1,They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,hard drive,55--65,0
2792_0,The only thing I don't understand is that the resolution of the screen isn't high enough for some pages[comma] such as Yahoo!Mail.,resolution of the screen,46--70,-1
1812_1,The difference is it's a whole lot of fun using the laptop now[comma] still learning the Apple navigation[comma] but is fun and comes with a lot of cool apps.,apps,141--145,1
1079_0,Second HDD cover has walls inside that need to be broken if you what to install one.,HDD cover,7--16,0
2272_2,We also use Paralles so we can run virtual machines of Windows XP Professional[comma] Windows 7 Home Premium[comma] Windows Server Enterprise 2003[comma] and Windows Server 2008 Enterprise.,Windows 7 Home Premium,80--102,0
884_0,Now[comma][comma][comma][comma][comma]my monitor has been acting up for about 2 months.,monitor,11--18,-1
308_0,On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,41--49,-1
2292_0,The ease of use is wonderful.,use,12--15,1
1197_0,Finally[comma] the biggest problem has been tech support.,tech support,38--50,-1
274_0,The little battery that it did have would only last about an hour while just having it on the desktop.,battery,11--18,-1
2511_1,Bigger HD[comma] better graphics card[comma] and a bid HD.,HD,43--45,1
2992_1,Battery is not upgradable to a longer life battery.,battery,43--50,-1
452_0,(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet[comma] artwork)[comma] and yet it is small enough to be reasonably portable.,size,57--61,1
3041_1,Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).,performance,106--117,0
2185_0,High price tag[comma] however.,price tag,5--14,-1
1351_0,I think that if it is the motherboard again so soon that they should replace it.,motherboard,26--37,-1
2928_0,That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse,153--158,1
911_1,no complaints with their desktop[comma] and maybe because it just sits on your desktop[comma] and you don't carry it around[comma] which could jar the hard drive[comma] or the motherboard.,motherboard,152--163,0
2686_0,Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).,work,7--11,-1
1104_0,The first programm I switched on was a game for my children.,programm,10--18,0
2697_0,I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,touchpad,30--38,-1
2478_0,All the things you can do with the trackpad make navigating around the computer and its programs so much simpler[comma] quicker[comma] and easier.,trackpad,35--43,1
1591_0,Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.,performance,7--18,1
2819_0,Aside from the trial software and the short battery life[comma] lack of a webcam[comma] its great.,trial software,15--29,-1
2830_0,Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,webcam,49--55,0
253_0,Another issue I have with it is the battery.,battery,36--43,-1
1698_0,MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,PRODUCT KEY,38--49,-1
2653_2,The pro is a great product[comma] I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).,edges,129--134,-1
290_0,I know there are way better laptops out there for the same price[comma] and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.,price,59--64,0
2751_1,Good monitor and performed well.,performed,17--26,1
16_0,A longer battery life would have been great - but it meets it's spec quite easily.,spec,64--68,1
2776_0,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,51--59,1
609_1,keys are all in weird places and is way too large for the way it is designed.,designed,68--76,-1
911_0,no complaints with their desktop[comma] and maybe because it just sits on your desktop[comma] and you don't carry it around[comma] which could jar the hard drive[comma] or the motherboard.,hard drive,133--143,0
3056_0,The speed difference is next to NOTHING for a mac[comma] and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.,speed,4--9,-1
2181_0,Three[comma] the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.,system performance,98--116,-1
1731_0,Everything is so easy to use[comma] Mac software is just so much simpler than Microsoft software.,Mac software,30--42,1
1074_0,But[comma] buy this model and just purchase 4GB of RAM (2x2GB for $92 or 1x4GB for $99)[comma] and save yourself $100 than the other model with 8GB of RAM.,4GB of RAM,38--48,0
1124_0,Mine came at $1[comma]700 w/o a DVD burner (!).,DVD burner,26--36,-1
2304_0,it has 3 usb ports[comma] 1 sd memory card reader and an sd memory car expansion.,usb ports,9--18,0
1591_1,Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.,speed,84--89,1
2823_0,This is a great little computer for the price.,price,40--45,1
2626_0,The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card,4--27,1
2166_0,It runs perfectly.,runs,3--7,1
2154_1,The large screen also helps when you are working in design based programs like Adobe Creative Suite.,design based programs,52--73,0
1844_0,_ upon giving them the serial number the first thing I was told[comma] was that it was out of warranty and I could pay to have it repaired.,warranty,88--96,0
1740_0,The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.,Material,4--12,1
1865_1,_ Until I bought the Dell[comma] I thought you just looked for what you wanted (size[comma] software[comma] options[comma] hardware) and purchase the best deal you could find.,software,80--88,0
244_0,If your time is worth anything to you[comma] if you are tired of rebooting[comma] reformatting[comma] reinstalling[comma] trying to find drivers[comma] if you want a computer to work for you for a change[comma] make the change to this computer.,drivers,113--120,-1
278_0,The layout of the MacBook is horrible and confusing;,layout,4--10,-1
1887_1,Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in)[comma] buttons not working and USB ports inoperative.,speaker grill,106--119,-1
1069_1,The Bluetooth was not there at all[comma] and the fingerprint reader driver would be there[comma] but the software would hang after installation was 1/2 way done.,fingerprint reader driver,44--69,-1
1749_3,Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows)[comma] but iwork is cheap compared to office.,windows,136--143,0
940_0,_ I definitely suggest getting an extended warranty[comma] you will probably need it!,extended warranty,34--51,1
1221_2,I was loving this Netbook because it had an amazing screen and display and was small and light[comma] but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.,browsers,177--185,0
1674_0,All for such a great price.,price,21--26,1
1449_0,The apple systems are over priced luxurys that arn't worth what they are being charged for[comma] this model's specifications are far from being impressive and they only thing you get out of this is the apple name.,specifications,105--119,-1
661_1,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,70--77,-1
3081_0,Once I removed all the software the laptop loads in 15-20 seconds.,software,23--31,-1
1099_0,It was slow[comma] locked up[comma] and also had hardware replaced after only 2 months!,hardware,37--45,-1
61_1,What I'd like is for the laptop to run well without having to purchase additional memory.,run,35--38,0
1080_1,Also[comma] HDD secures inside using rails[comma] and there is only one set on the main hard drive.,rails,31--36,0
1743_1,But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard[comma] mouse[comma] and monitor to take it with me when I take photos and video.,external keyboard,189--206,0
2674_0,One drawback I noticed was sound quality via USB.,sound quality via USB,27--48,-1
682_1,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,PROCESSING,43--53,1
1893_0,Three weeks after I bought the netbook[comma] the screen quit working.,screen,44--50,-1
2809_1,I love windows 7 but i can't give Toshiba any credit for that[comma] unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.,ergonomics,94--104,-1
500_0,We paid for the three year warranty and the extended warranty after that one ended as well.,three year warranty,16--35,0
2387_1,Screen is awesome[comma] battery life is good.,battery life,19--31,1
1138_0,Ever since I bought this laptop[comma] so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.,customer services,111--128,-1
917_2,_One night I turned the freaking thing off after using it[comma] the next day I turn it on[comma] no GUI[comma] screen all dark[comma] power light steady[comma] hard drive light steady and not flashing as it usually does.,power light,111--122,0
15_0,Runs fast and the regular layout keyboard is so much better.,regular layout keyboard,18--41,1
2497_1,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,OS X,78--82,0
2373_0,The screen takes some getting use to[comma] because it is smaller than the laptop.,screen,4--10,-1
2273_1,WIth the upgraded memory[comma] the MacBook Pro never has an issue running many many applications at once!,applications,79--91,0
2080_0,Even though it is running Snow Leopard[comma] 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.,Snow Leopard,26--38,1
2622_2,Reason why? It's because when you buy it[comma] you know first thing that you will not lose any value for that laptop[comma] the price will stay the same for the next year[comma] and even if Apple does decides to change mode[comma] your laptop value will only drop 10-20%[comma] unlike PC laptops which drop more than 80%.,value,220--225,1
684_0,The keyboard has a wonderful nature feel.,keyboard,4--12,1
1734_0,It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.,software,134--142,-1
1361_0,Hmmm - that high failure rate sure isn't reflected in the retail price.,retail price,58--70,-1
2938_1,I wish the volume could be louder and the mouse didnt break after only a month.,mouse,42--47,-1
2009_0,_ The battery never held a charge longer than one hour and within two months[comma] stopped holding a charge for more than ten minutes.,battery,6--13,-1
700_0,Speakers doesn't sound that great.,Speakers,0--8,-1
2926_0,The only problems are the sound isnt very loud I have to wear headphones.,sound,26--31,-1
2807_0,the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic[comma] not to mention the laptop was designed for right handed person.,headphone,4--13,-1
838_0,The port is secured to motherboard so when this  happens you can't see the plug at all[comma] it's just gone.,motherboard,23--34,0
1845_0,_ even though I had the receipt in front of me proving it still had 2 months left on the warranty.,warranty,89--97,-1
1858_0,The touchpad is extremely sensitive[comma] which is the only drawback.,touchpad,4--12,-1
2919_0,I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations.,performance,70--81,-1
2684_0,Good price.,price,5--10,1
2296_0,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,58--71,-1
1497_1,The PhotoBooth is a great program[comma] it takes very good pictures with the built-in camera.,program,26--33,1
2689_0,I dislike the weight and size[comma] cubersome.,weight,14--20,-1
1718_0,I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,39--55,0
2993_0,It has good speed and plenty of hard drive space.,speed,12--17,1
2871_0,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,performance,98--109,1
3042_0,Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.,Hard disk,0--9,0
445_0,Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,Battery life,0--12,-1
1283_1,However[comma] my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).,LCD,100--103,0
2492_0,Amazing Quality!,Quality,8--15,1
1493_0,">  iPhoto is probably the best program I have ever worked with: easy and convenient.,iPhoto,4--10,1
2939_1,This laptop is a great price and has a sleek look.,look,45--49,1
108_2,It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read[comma] for example[comma] 74%[comma] plugged in[comma] not charging"")[comma] requiring me to unplug it and plug it back in several times to get it to charge.",charge,231--237,0
391_3,I paid for extra memory and the 17-inch screen[comma] as well as the top of the line DVD and CD burners.,CD burners,87--97,1
1068_3,I reloaded with Windows 7 Ultimate[comma] and the Bluetooth and Fingerprint reader (software) would not load.,software,78--86,-1
350_1,also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,keyboard,229--237,-1
3078_0,the i3 processor doesn't seem to run hot and the fan rarely turns on.,i3 processor,4--16,1
2654_0,Other than that its a great performing machine and well meets all my needs and more.,performing,28--38,1
2290_0,I love the dock where I can simply drop a file ontop of a particular program[comma] and the program will simply open that file.,dock,11--15,1
1895_0,Overall I feel this netbook was poor quality[comma] had poor performance[comma] although it did have great battery life when it did work.,quality,37--44,-1
2718_0,I've owned this labtop for less then two months[comma] already the mouse button has broke.,mouse button,61--73,-1
907_0,The people are frustrating to work with[comma] the product itself is very cheaply made[comma] and the accessories are less than satisfactory.,accessories,90--101,-1
333_0,It's graphics aren't bad at all[comma] for the lower end of the MacBook Pro spectrum[comma] easily capable of running StarCraft II and other games with comparable graphics.,graphics,5--13,1
344_0,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,hardrive,39--47,-1
2671_0,while about 8 years ago[comma] I hope that the quality has changed.,quality,41--48,-1
1783_1,It is easy to use[comma] has great screen quality[comma] and every so light weight.,use,14--17,1
